"Go","Basic","What is the basic structure of a Go program?","Program structure","Main package","Go program","A","package main; import statements; func main() { }","Program Structure","https://golang.org/doc/effective_go","https://youtube.com/results?search_query=go+program+structure","https://youtube.com/results?search_query=go+program+structure+hindi","https://youtube.com/results?search_query=go+program+structure+kannada","https://youtube.com/results?search_query=go+program+structure+tamil","https://youtube.com/results?search_query=go+program+structure+telugu"
"Go","Basic","How do you write Hello World in Go?","Hello World","First program","Basic program","A","package main; import \"fmt\"; func main() { fmt.Println(\"Hello, World!\") }","Hello World","https://golang.org/doc/tutorial/getting-started","https://youtube.com/results?search_query=go+hello+world","https://youtube.com/results?search_query=go+hello+world+hindi","https://youtube.com/results?search_query=go+hello+world+kannada","https://youtube.com/results?search_query=go+hello+world+tamil","https://youtube.com/results?search_query=go+hello+world+telugu"
"Go","Basic","What is the difference between Print, Println, and Printf?","Print functions","Output methods","Formatting","A","Print() prints without newline, Println() adds newline, Printf() formats output","Print Functions","https://pkg.go.dev/fmt","https://youtube.com/results?search_query=go+print+println+printf","https://youtube.com/results?search_query=go+print+println+printf+hindi","https://youtube.com/results?search_query=go+print+println+printf+kannada","https://youtube.com/results?search_query=go+print+println+printf+tamil","https://youtube.com/results?search_query=go+print+println+printf+telugu"
"Go","Basic","What are Go's basic data types?","Data types","Primitive types","Type system","A","int, float64, string, bool, etc.","Data Types","https://golang.org/ref/spec#Types","https://youtube.com/results?search_query=go+data+types","https://youtube.com/results?search_query=go+data+types+hindi","https://youtube.com/results?search_query=go+data+types+kannada","https://youtube.com/results?search_query=go+data+types+tamil","https://youtube.com/results?search_query=go+data+types+telugu"
"Go","Basic","How do you write comments in Go?","Comments","Code documentation","Notes","A","Single-line: // comment, Multi-line: /* comment */","Comments","https://golang.org/doc/effective_go#commentary","https://youtube.com/results?search_query=go+comments","https://youtube.com/results?search_query=go+comments+hindi","https://youtube.com/results?search_query=go+comments+kannada","https://youtube.com/results?search_query=go+comments+tamil","https://youtube.com/results?search_query=go+comments+telugu"
"Go","Basic","What are operators in Go?","Operators","Math operations","Comparison","A","Arithmetic: + - * / %, Comparison: == != < > <= >=, Logical: && || !","Operators","https://golang.org/ref/spec#Operators","https://youtube.com/results?search_query=go+operators","https://youtube.com/results?search_query=go+operators+hindi","https://youtube.com/results?search_query=go+operators+kannada","https://youtube.com/results?search_query=go+operators+tamil","https://youtube.com/results?search_query=go+operators+telugu"
"Go","Basic","How do you write switch statement in Go?","Switch","Multiple conditions","Case selection","A","switch expression { case value1: case value2: default: }","Switch Statement","https://golang.org/ref/spec#Switch_statements","https://youtube.com/results?search_query=go+switch+statement","https://youtube.com/results?search_query=go+switch+statement+hindi","https://youtube.com/results?search_query=go+switch+statement+kannada","https://youtube.com/results?search_query=go+switch+statement+tamil","https://youtube.com/results?search_query=go+switch+statement+telugu"
"Go","Basic","How do you return values from functions?","Return values","Function output","Results","A","return value or return value1, value2 (multiple returns)","Return Values","https://golang.org/ref/spec#Return_statements","https://youtube.com/results?search_query=go+return+values","https://youtube.com/results?search_query=go+return+values+hindi","https://youtube.com/results?search_query=go+return+values+kannada","https://youtube.com/results?search_query=go+return+values+tamil","https://youtube.com/results?search_query=go+return+values+telugu"
"Go","Basic","What are multiple return values in Go?","Multiple returns","Multiple values","Tuple returns","A","Functions can return multiple values: func f() (int, string) { return 1, \"hello\" }","Multiple Returns","https://golang.org/doc/effective_go#multiple-returns","https://youtube.com/results?search_query=go+multiple+returns","https://youtube.com/results?search_query=go+multiple+returns+hindi","https://youtube.com/results?search_query=go+multiple+returns+kannada","https://youtube.com/results?search_query=go+multiple+returns+tamil","https://youtube.com/results?search_query=go+multiple+returns+telugu"
"Go","Basic","How do you handle errors in Go?","Error handling","Error checking","Panic","A","Functions return error as last value, check if err != nil","Error Handling","https://golang.org/doc/effective_go#errors","https://youtube.com/results?search_query=go+error+handling","https://youtube.com/results?search_query=go+error+handling+hindi","https://youtube.com/results?search_query=go+error+handling+kannada","https://youtube.com/results?search_query=go+error+handling+tamil","https://youtube.com/results?search_query=go+error+handling+telugu"
"Go","Basic","What are slices in Go?","Slices","Dynamic arrays","Resizable","A","Dynamic, flexible view into arrays: []int{1, 2, 3} or make([]int, 5)","Slices","https://golang.org/ref/spec#Slice_types","https://youtube.com/results?search_query=go+slices","https://youtube.com/results?search_query=go+slices+hindi","https://youtube.com/results?search_query=go+slices+kannada","https://youtube.com/results?search_query=go+slices+tamil","https://youtube.com/results?search_query=go+slices+telugu"
"Go","Basic","What is the difference between array and slice?","Array vs slice","Fixed vs dynamic","Size comparison","A","Arrays have fixed size, slices are dynamic and reference arrays","Array vs Slice","https://golang.org/doc/effective_go#arrays","https://youtube.com/results?search_query=go+array+vs+slice","https://youtube.com/results?search_query=go+array+vs+slice+hindi","https://youtube.com/results?search_query=go+array+vs+slice+kannada","https://youtube.com/results?search_query=go+array+vs+slice+tamil","https://youtube.com/results?search_query=go+array+vs+slice+telugu"
