skill,level,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation,topic,mdn_link,youtube_english,youtube_hindi,youtube_kannada,youtube_tamil,youtube_telugu

Linux,Intermediate,What is the difference between grep and egrep?,Commands,Searching,Patterns,A,grep: basic regular expressions; egrep: extended regular expressions (same as grep -E).,File Processing,https://man7.org/linux/man-pages/man1/grep.1.html,https://youtube.com/results?search_query=linux+grep+vs+egrep,https://youtube.com/results?search_query=linux+grep+vs+egrep+hindi,https://youtube.com/results?search_query=linux+grep+vs+egrep+kannada,https://youtube.com/results?search_query=linux+grep+vs+egrep+tamil,https://youtube.com/results?search_query=linux+grep+vs+egrep+telugu
Linux,Intermediate,What is the difference between find and locate?,Commands,Searching,Files,A,find: searches in real-time; locate: uses pre-built database (faster).,File System,https://man7.org/linux/man-pages/man1/find.1.html,https://youtube.com/results?search_query=linux+find+vs+locate,https://youtube.com/results?search_query=linux+find+vs+locate+hindi,https://youtube.com/results?search_query=linux+find+vs+locate+kannada,https://youtube.com/results?search_query=linux+find+vs+locate+tamil,https://youtube.com/results?search_query=linux+find+vs+locate+telugu
Linux,Intermediate,What is the difference between ps aux and ps -ef?,Commands,Processes,Monitoring,A,ps aux: BSD style (shows user); ps -ef: UNIX style (shows PPID).,Process Management,https://man7.org/linux/man-pages/man1/ps.1.html,https://youtube.com/results?search_query=linux+ps+aux+vs+ps+-ef,https://youtube.com/results?search_query=linux+ps+aux+vs+ps+-ef+hindi,https://youtube.com/results?search_query=linux+ps+aux+vs+ps+-ef+kannada,https://youtube.com/results?search_query=linux+ps+aux+vs+ps+-ef+tamil,https://youtube.com/results?search_query=linux+ps+aux+vs+ps+-ef+telugu
Linux,Intermediate,What is the difference between kill and kill -9?,Commands,Processes,Signals,A,kill: sends TERM signal (15); kill -9: sends KILL signal (cannot be caught/ignored).,Process Management,https://man7.org/linux/man-pages/man1/kill.1.html,https://youtube.com/results?search_query=linux+kill+vs+kill+-9,https://youtube.com/results?search_query=linux+kill+vs+kill+-9+hindi,https://youtube.com/results?search_query=linux+kill+vs+kill+-9+kannada,https://youtube.com/results?search_query=linux+kill+vs+kill+-9+tamil,https://youtube.com/results?search_query=linux+kill+vs+kill+-9+telugu
Linux,Intermediate,What is the difference between > and >>?,Commands,Redirection,Append,A,>: redirects/overwrites; >>: redirects/appends.,Shell Basics,https://www.gnu.org/software/bash/manual/bash.html#Redirections,https://youtube.com/results?search_query=linux+redirect+>+vs+>>,https://youtube.com/results?search_query=linux+redirect+>+vs+>>+hindi,https://youtube.com/results?search_query=linux+redirect+>+vs+>>+kannada,https://youtube.com/results?search_query=linux+redirect+>+vs+>>+tamil,https://youtube.com/results?search_query=linux+redirect+>+vs+>>+telugu
Linux,Intermediate,What is the difference between | and >?,Commands,Pipes,Redirection,A,|: pipes stdout to stdin; >: redirects stdout to file.,Shell Basics,https://www.gnu.org/software/bash/manual/bash.html#Pipelines,https://youtube.com/results?search_query=linux+pipe+vs+redirect,https://youtube.com/results?search_query=linux+pipe+vs+redirect+hindi,https://youtube.com/results?search_query=linux+pipe+vs+redirect+kannada,https://youtube.com/results?search_query=linux+pipe+vs+redirect+tamil,https://youtube.com/results?search_query=linux+pipe+vs+redirect+telugu
Linux,Intermediate,What is the difference between & and &&?,Commands,Operators,Control,A,&: runs command in background; &&: runs second command only if first succeeds.,Shell Basics,https://www.gnu.org/software/bash/manual/bash.html#Lists,https://youtube.com/results?search_query=linux+&+vs+&&,https://youtube.com/results?search_query=linux+&+vs+&&+hindi,https://youtube.com/results?search_query=linux+&+vs+&&+kannada,https://youtube.com/results?search_query=linux+&+vs+&&+tamil,https://youtube.com/results?search_query=linux+&+vs+&&+telugu
Linux,Intermediate,What is the difference between ; and &&?,Commands,Separators,Control,A,;: runs commands sequentially; &&: runs second only if first succeeds.,Shell Basics,https://www.gnu.org/software/bash/manual/bash.html#Command-Separators,https://youtube.com/results?search_query=linux+;+vs+&&,https://youtube.com/results?search_query=linux+;+vs+&&+hindi,https://youtube.com/results?search_query=linux+;+vs+&&+kannada,https://youtube.com/results?search_query=linux+;+vs+&&+tamil,https://youtube.com/results?search_query=linux+;+vs+&&+telugu
Linux,Intermediate,What is the difference between hard link and soft link?,File System,Links,Inodes,A,hard link: same inode, cannot cross filesystems; soft link: separate inode, points to path.,File System,https://man7.org/linux/man-pages/man7/inode.7.html,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link+hindi,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link+kannada,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link+tamil,https://youtube.com/results?search_query=linux+hard+link+vs+soft+link+telugu
Linux,Intermediate,What is the difference between /bin and /usr/bin?,File System,Directories,Binaries,A,/bin: essential binaries for all users; /usr/bin: user binaries (non-essential).,File System,https://refspecs.linuxfoundation.org/FHS_3.0/fhs/ch04.html,https://youtube.com/results?search_query=linux+/bin+vs+/usr/bin,https://youtube.com/results?search_query=linux+/bin+vs+/usr/bin+hindi,https://youtube.com/results?search_query=linux+/bin+vs+/usr/bin+kannada,https://youtube.com/results?search_query=linux+/bin+vs+/usr/bin+tamil,https://youtube.com/results?search_query=linux+/bin+vs+/usr/bin+telugu
